timestamp,fps,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
1771963617.1569,31.9,50.0,0.0,PILOTING,SYS_GO,11.3314,4.01,0.0,0.0,279,0.0,0
1771963617.2303,29.8,50.0,0.0,PILOTING,SYS_GO,11.3596,4.01,0.0,0.0,279,0.0,0
1771963617.3072,26.9,50.0,0.0,PILOTING,SYS_GO,11.399,4.01,0.0,0.0,279,0.0,0
1771963617.3561,30.6,50.0,0.0,PILOTING,SYS_GO,11.4122,4.01,0.0,0.0,279,0.0,0
1771963617.4596,26.5,50.0,0.0,PILOTING,SYS_GO,11.47,4.01,0.0,0.0,279,0.0,0
1771963617.5112,37.7,50.0,0.0,PILOTING,SYS_GO,11.4773,4.01,0.0,0.0,278,0.0,0
1771963617.6116,32.3,50.0,0.0,PILOTING,SYS_GO,11.5317,4.01,0.0,0.0,278,0.0,0
1771963617.6577,39.3,50.0,0.0,PILOTING,SYS_GO,11.5406,4.01,0.0,0.0,278,0.0,0
1771963617.7648,33.6,50.0,0.0,PILOTING,SYS_GO,11.5947,4.01,0.0,0.0,278,0.0,0
1771963617.8149,37.6,50.0,0.0,PILOTING,SYS_GO,11.6058,4.01,0.0,0.0,278,0.0,0
1771963617.8733,34.8,50.0,0.0,PILOTING,SYS_GO,11.6314,4.01,0.0,0.0,278,0.0,0
1771963617.9622,30.4,50.0,0.0,PILOTING,SYS_GO,11.6783,4.01,0.0,0.0,278,0.0,0
1771963618.0114,29.7,50.0,0.0,PILOTING,SYS_GO,11.7008,4.01,0.0,0.0,278,0.0,0
1771963618.1152,26.0,50.0,0.0,PILOTING,SYS_GO,11.7535,4.01,0.0,0.0,278,0.0,0
1771963618.1663,29.4,50.0,0.0,PILOTING,SYS_GO,11.7674,4.01,0.0,0.0,278,0.0,0
1771963618.2538,25.9,50.0,0.0,PILOTING,SYS_GO,11.8182,4.01,0.0,0.0,278,0.0,0
1771963618.3015,30.4,50.0,0.0,PILOTING,SYS_GO,11.8307,4.01,0.0,0.0,278,0.0,0
1771963618.4086,26.5,50.0,0.0,PILOTING,SYS_GO,11.8851,4.01,0.0,0.0,277,0.0,0
1771963618.4571,31.1,50.0,0.0,PILOTING,SYS_GO,11.8973,4.01,0.0,0.0,277,0.0,0
1771963618.5609,26.9,50.0,0.0,PILOTING,SYS_GO,11.9557,4.01,0.0,0.0,277,0.0,0
1771963618.6081,33.0,50.0,0.0,PILOTING,SYS_GO,11.9661,4.01,0.0,0.0,277,0.0,0
1771963618.673,30.8,50.0,0.0,PILOTING,SYS_GO,11.9933,4.01,0.0,0.0,277,0.0,0
1771963618.7137,31.3,50.0,0.0,PILOTING,SYS_GO,12.0115,4.01,0.0,0.0,277,0.0,0
1771963618.7625,32.5,50.0,0.0,PILOTING,SYS_GO,12.0275,4.01,0.0,0.0,277,0.0,0
1771963618.8524,28.4,50.0,0.0,PILOTING,SYS_GO,12.0769,4.01,0.0,0.0,277,0.0,0
1771963618.8982,35.7,50.0,0.0,PILOTING,SYS_GO,12.0862,4.01,0.0,0.0,277,0.0,0
1771963618.9894,31.1,50.0,0.0,PILOTING,SYS_GO,12.1326,4.01,0.0,0.0,277,0.0,0
