schema_ver,timestamp,fps,yolo_ms,vis_ms,speed_pwm,velocity_ms,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,lane_l_conf,lane_r_conf,estop
3,1771968716.1421,36.4,4.6,16.1,20.0,0.112,-0.01,PILOTING,SYS_GO,17.107,2.8321,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.1891,38.5,8.1,33.3,20.0,0.112,-0.01,PILOTING,SYS_GO,17.1076,2.8298,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.249,35.3,7.0,23.3,20.0,0.112,-0.01,PILOTING,SYS_GO,17.1088,2.825,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.294,34.4,4.4,18.7,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1097,2.8215,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.3394,35.6,0.0,11.4,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1103,2.8188,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.3861,44.5,0.0,83.1,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1107,2.8174,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.4772,38.0,0.0,12.2,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1129,2.8084,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.523,46.7,35.5,46.4,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1132,2.807,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.6147,39.8,0.0,21.0,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1155,2.798,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.6608,41.4,1.9,55.3,20.0,0.112,-0.0,PILOTING,SYS_GO,17.116,2.7957,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.723,36.6,0.0,10.5,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1176,2.7895,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.7708,48.3,1.0,51.5,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1178,2.7884,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.8313,42.4,1.0,35.0,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1193,2.7826,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.877,39.1,0.3,15.1,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1203,2.7784,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.9228,44.2,1.0,19.2,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1207,2.7767,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968716.9753,44.8,2.8,27.9,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1213,2.7744,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968717.0153,42.4,3.6,14.6,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1221,2.771,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968717.0611,44.1,5.7,33.9,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1227,2.7689,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968717.111,39.9,0.0,27.3,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1238,2.7643,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968717.1526,39.3,1.5,33.3,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1245,2.7613,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968717.1992,37.1,0.0,14.0,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1255,2.7575,-1.3285,-76.12,254,0.0,0.0,0.0,0
3,1771968717.2501,42.2,0.0,38.2,20.0,0.112,-0.0,PILOTING,SYS_GO,17.1259,2.7557,-1.3285,-76.12,254,0.0,0.0,0.0,0
