schema_ver,timestamp,fps,yolo_ms,vis_ms,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
2,1771967604.8585,30.0,2.1,26.4,50.0,0.0,PILOTING,SYS_GO,16.6419,10.88,0.0,0.0,334,0.0,0
2,1771967604.9032,31.0,1.0,9.2,50.0,0.0,PILOTING,SYS_GO,16.6571,10.88,0.0,0.0,334,0.0,0
2,1771967604.9482,43.5,1.0,54.4,50.0,0.0,PILOTING,SYS_GO,16.6628,10.88,0.0,0.0,334,0.0,0
2,1771967605.0138,38.4,3.7,48.2,50.0,0.0,PILOTING,SYS_GO,16.6925,10.88,0.0,0.0,334,0.0,0
2,1771967605.0849,33.9,0.0,10.5,50.0,0.0,PILOTING,SYS_GO,16.7262,10.88,0.0,0.0,334,0.0,0
2,1771967605.13,46.1,0.5,46.2,50.0,0.0,PILOTING,SYS_GO,16.7318,10.88,0.0,0.0,334,0.0,0
2,1771967605.198,41.1,1.0,14.3,50.0,0.0,PILOTING,SYS_GO,16.7572,10.88,0.0,0.0,334,0.0,0
2,1771967605.2378,45.9,2.0,32.4,50.0,0.0,PILOTING,SYS_GO,16.7654,10.88,0.0,0.0,334,0.0,0
2,1771967605.2835,42.2,4.7,81.2,50.0,0.0,PILOTING,SYS_GO,16.7848,10.88,0.0,0.0,334,0.0,0
2,1771967605.3749,36.1,0.0,13.3,50.0,0.0,PILOTING,SYS_GO,16.831,10.88,0.0,0.0,334,0.0,0
2,1771967605.4222,42.8,9.7,65.0,50.0,0.0,PILOTING,SYS_GO,16.8387,10.88,0.0,0.0,334,0.0,0
2,1771967605.5152,36.9,0.0,28.1,50.0,0.0,PILOTING,SYS_GO,16.8794,10.88,0.0,0.0,334,0.0,0
2,1771967605.5626,36.3,8.3,52.3,50.0,0.0,PILOTING,SYS_GO,16.895,10.88,0.0,0.0,334,0.0,0
2,1771967605.6355,32.4,0.0,18.0,50.0,0.0,PILOTING,SYS_GO,16.9272,10.88,0.0,0.0,334,0.0,0
2,1771967605.6872,36.4,7.6,45.2,50.0,0.0,PILOTING,SYS_GO,16.9373,10.88,0.0,0.0,334,0.0,0
2,1771967605.7425,32.9,0.0,9.8,50.0,0.0,PILOTING,SYS_GO,16.9654,10.88,0.0,0.0,367,0.0,0
2,1771967605.79,46.8,0.0,59.9,50.0,0.0,PILOTING,SYS_GO,16.9706,10.88,0.0,0.0,367,0.0,0
2,1771967605.869,40.5,0.5,14.8,50.0,0.0,PILOTING,SYS_GO,17.0051,10.88,0.0,0.0,367,0.0,0
2,1771967605.9107,41.5,5.6,16.8,50.0,0.0,PILOTING,SYS_GO,17.0167,10.88,0.0,0.0,367,0.0,0
2,1771967605.9634,42.2,9.1,35.0,50.0,0.0,PILOTING,SYS_GO,17.0287,10.88,0.0,0.0,367,0.0,0
2,1771967606.0184,38.2,0.0,25.9,50.0,0.0,PILOTING,SYS_GO,17.0526,10.88,0.0,0.0,367,0.0,0
2,1771967606.0698,38.2,27.3,22.2,50.0,0.0,PILOTING,SYS_GO,17.0664,10.88,0.0,0.0,367,0.0,0
2,1771967606.1411,34.2,0.0,19.2,50.0,0.0,PILOTING,SYS_GO,17.096,10.88,0.0,0.0,367,0.0,0
2,1771967606.1894,37.0,3.5,46.2,50.0,0.0,PILOTING,SYS_GO,17.107,10.88,0.0,0.0,367,0.0,0
2,1771967606.2482,33.4,0.0,22.9,50.0,0.0,PILOTING,SYS_GO,17.1348,10.88,0.0,0.0,367,0.0,0
2,1771967606.2954,35.5,6.5,61.5,50.0,0.0,PILOTING,SYS_GO,17.147,10.88,0.0,0.0,367,0.0,0
2,1771967606.371,31.2,0.0,10.0,50.0,0.0,PILOTING,SYS_GO,17.1845,10.88,0.0,0.0,367,0.0,0
2,1771967606.4184,44.9,7.6,53.9,50.0,0.0,PILOTING,SYS_GO,17.1898,10.88,0.0,0.0,367,0.0,0
2,1771967606.4936,38.9,0.0,21.3,50.0,0.0,PILOTING,SYS_GO,17.2255,10.88,0.0,0.0,367,0.0,0
2,1771967606.5384,40.5,1.0,61.2,50.0,0.0,PILOTING,SYS_GO,17.2368,10.88,0.0,0.0,367,0.0,0
2,1771967606.6149,35.6,0.5,20.6,50.0,0.0,PILOTING,SYS_GO,17.2704,10.88,0.0,0.0,367,0.0,0
2,1771967606.6608,37.9,3.1,52.9,50.0,0.0,PILOTING,SYS_GO,17.2817,10.88,0.0,0.0,367,0.0,0
